FECHA DE CIERRE,CARGA,ORDEN,FECHA DE ENVIO,ITEM,DESCRIPCION,CANTIDAD,LPN,ORIGEN,NOMBRE ORIGEN
18/10/2024 11:31:59,BAAOB24927629,9745295,10/24/2024,127802,Takis Fuego 20pct Mas Picante 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:31:59,BAAOB24927629,9745295,10/24/2024,127802,Takis Fuego 20pct Mas Picante 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:31:59,BAAOB24927629,9745295,10/24/2024,127925,Kiyakis 1p 120g FLOW BAR,110,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:31:59,BAAOB24927629,9745295,10/24/2024,514855,Kiyakis 1p 60g FLOW BAR,110,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127575,Takis Huakamole 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127575,Takis Huakamole 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127575,Takis Huakamole 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127575,Takis Huakamole 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127575,Takis Huakamole 1p 70g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127923,Karameladas Pop 1p 45g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127923,Karameladas Pop 1p 45g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127923,Karameladas Pop 1p 45g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127923,Karameladas Pop 1p 45g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127923,Karameladas Pop 1p 45g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127923,Karameladas Pop 1p 45g FLOW BAR,91,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127924,Karameladas Pop 1p 110g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127924,Karameladas Pop 1p 110g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127924,Karameladas Pop 1p 110g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,127924,Karameladas Pop 1p 110g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,128450,Pop Sens Queso PC 1p 45g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,128450,Pop Sens Queso PC 1p 45g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,128450,Pop Sens Queso PC 1p 45g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
18/10/2024 11:10:30,BAAOB24926489,9745294,10/24/2024,514926,Runners Blue Heat 1p 72g FLOW BAR,49,1.0105E+14,BAA,BAR PRODUCTORA LERMA
